pmid,in_modular,in_e2e,modular_pt,e2e_pt,delta,rel_abs_delta,modular_ci,e2e_ci,modular_param,e2e_param,e2e_notes
31995857,True,True,7.5,7.5,0.0,0.0,5.3-19.0,5.3-19.0,serial_interval,serial_interval,SD reported as ±3.4 days. Serial interval estimated from 5 secondary cases with clear exposure to only one index case. The 95% CI is wide due to small sample si
32035431,True,True,6.6,6.6,0.0,0.0,3.0-15.0,3.0-15.0,serial_interval,serial_interval,Median serial interval also reported as 4.0 days. Paper defines generation time/serial interval as time-interval between symptom-onset of index case and symptom
32191173,True,True,3.96,3.96,0.0,0.0,3.53-4.39,3.53-4.39,serial_interval,serial_interval,SD 4.75 days (95% CI 4.46–5.07). 12.6% of serial intervals were negative (presymptomatic transmission). Subgroup estimates: imported index case mean 4.06 (95% C
32244365,True,True,7.5,7.5,0.0,0.0,5.3-19.0,5.3-19.0,serial_interval,serial_interval,From systematic review; published study; text describes as mean serial interval
32247326,True,True,5.1,5.1,0.0,0.0,1.3-11.6,1.3-11.6,serial_interval,serial_interval,One case with same-day symptom onset as index case was removed from analysis. Sensitivity analysis using different levels of data censoring yielded estimates be
32284616,True,True,7.0,7.0,0.0,0.0,5.8-8.1,5.8-8.1,serial_interval,serial_interval,SD of serial interval: 4.5 (95% CrI: 3.5–5.5) days. Generation time assumed to have same distribution as serial interval (Methods assumption 4). Baseline scenar
32347198,True,True,4.77,4.77,0.0,0.0,3.47-6.9,3.47-6.9,serial_interval,serial_interval,"Best-fit distribution by WAIC (214.7 vs 217.6 and 219.0 for gamma and Weibull). Empirical mean from all 26 pairs: 4.58 days (95% bCI: 3.35–5.85; SD: 3.28 days, "
32353347,True,True,6.3,6.3,0.0,0.0,5.2-7.6,5.2-7.6,serial_interval,serial_interval,"Also reported: median 5.4 days (95% CI 4.4-6.5), SD 4.2 days (95% CI 3.1-5.3), 5th percentile 1.3 days (95% CI 0.9-1.9), 95th percentile 14.3 days (95% CI 11.1-"
32366488,True,True,5.2,5.2,0.0,0.0,3.8-6.8,3.8-6.8,serial_interval,serial_interval,"Mean±SD = 5.2±3.2 days; COSI estimated through 9 transmission chains. Median serial interval also reported as 4 days (IQR 3–8.5, range 2–12) in Table 1."
32452648,True,True,5.9,5.9,0.0,0.0,3.9-9.6,3.9-9.6,serial_interval,serial_interval,Weibull was the best-fitting model by AICc (151.8). SD of SI under Weibull: 4.8 days (95% CI: 3.1-10.1). Alternative distribution estimates: Gamma mean=5.9 (95%
