pmid,study,region,estimation_period,population,sample_size,method,parameter_type,estimate_measure,point_estimate,unit,uncertainty_type,uncertainty_level,uncertainty_low,uncertainty_high,distribution,notes,evidence_locations,project,ci_95_derived_lower,ci_95_derived_upper,ci_95_source
32353347,Bi/2020,"Shenzhen, China","Jan 14 to Feb 12, 2020 (cases); close contacts of cases confirmed before Feb 9, 2020",391 SARS-CoV-2 cases and 1286 close contacts identified by Shenzhen CDC,48 transmission pairs,Retrospective cohort study; contact tracing with RT-PCR testing; parametric distribution fitting to serial interval (gamma distribution),serial_interval,mean,6.3,days,CI,95%,5.2,7.6,gamma,Median serial interval: 5.4 days (95% CI 4.4-6.5); SD: 4.2 days (95% CI 3.1-5.3); 5th percentile: 1.3 days (95% CI 0.9-1.9); 95th percentile: 14.3 days (95% CI 11.1-17.6). Stratified by isolation timing: mean 3.6 days if isolated <3 days after infection; mean 8.1 days if isolated on day 3 or later (appendix 2 p 3). Estimate includes effect of isolation on truncating the serial interval.,"['Results paragraph 6', 'Figure 1 caption', 'Summary/Findings']",p13,5.2,7.6,reported
31995857,Li/2020,"Wuhan, Hubei Province, China","December 2019 – January 22, 2020",First 425 laboratory-confirmed cases of NCIP in Wuhan,6 pairs of cases from 5 clusters,Gamma distribution fitted to data from cluster investigations to estimate serial interval distribution,serial_interval,mean,7.5,days,CI,95%,5.3,19.0,gamma,"SD = 3.4 days also reported. Serial interval defined as the delay between illness onset dates in successive cases in chains of transmission. Based on 5 secondary cases who had clear exposure to only one index case and no other potential source of infection. An informative prior based on SARS serial interval (mean 8.4, SD 3.8) was used for R0 estimation but the serial interval estimate itself was derived from the cluster data.","['Results paragraph 2', 'Figure 2B', 'Statistical Analysis section']",p13,5.3,19.0,reported
32694200,Ali/2020,Mainland China (outside Hubei province),9 January to 13 February 2020 (whole period),COVID-19 transmission pairs with symptom-onset dates and social relationships available for both infector and infectee,677 transmission pairs,Normal distribution fitted using MCMC to serial interval data from line-list transmission pairs,serial_interval,mean,5.1,days,CrI,95%,4.7,5.5,normal,"Overall estimate for entire study period. SD: 5.3 (95% CrI: 5.0, 5.6). The paper's headline finding is that the serial interval shortened substantially from 7.8 to 2.6 days across three sub-periods.","['Results paragraph 3', 'Fig. 1B', 'Table S2']",p13,4.7,5.5,reported
32694200,Ali/2020,Mainland China (outside Hubei province),9 to 22 January 2020 (prepeak period),COVID-19 transmission pairs with symptom-onset dates and social relationships available for both infector and infectee,162 transmission pairs,Normal distribution fitted using MCMC to serial interval data from line-list transmission pairs,serial_interval,mean,7.8,days,CrI,95%,7.0,8.6,normal,"Prepeak period estimate. SD: 5.2 (95% CrI: 4.7, 5.9). Running 14-day window estimate for same period also gave mean 7.8 (95% CrI: 7.0, 8.6).","['Results paragraph 3', 'Fig. 1B', 'Table S2']",p13,7.0,8.6,reported
32694200,Ali/2020,Mainland China (outside Hubei province),23 to 29 January 2020 (peak week),COVID-19 transmission pairs with symptom-onset dates and social relationships available for both infector and infectee,339 transmission pairs,Normal distribution fitted using MCMC to serial interval data from line-list transmission pairs,serial_interval,mean,5.1,days,CrI,95%,4.6,5.7,normal,"Peak week estimate. SD: 5.0 (95% CrI: 4.6, 5.4).","['Results paragraph 3', 'Fig. 1B', 'Table S2']",p13,4.6,5.7,reported
32694200,Ali/2020,Mainland China (outside Hubei province),30 January to 13 February 2020 (postpeak period),COVID-19 transmission pairs with symptom-onset dates and social relationships available for both infector and infectee,176 transmission pairs,Normal distribution fitted using MCMC to serial interval data from line-list transmission pairs,serial_interval,mean,2.6,days,CrI,95%,1.9,3.2,normal,"Postpeak period estimate. SD: 4.6 (95% CrI: 4.2, 5.1). Running 14-day window for same period gave mean 2.2 (95% CrI: 1.5, 2.9). Early isolation stratum: mean 3.3 (95% CrI: 2.7, 3.8); delayed isolation stratum: mean 6.8 (95% CrI: 6.2, 7.3).","['Results paragraph 3', 'Fig. 1B', 'Table S2']",p13,1.9,3.2,reported
33554183,Liao/2020,"Wanzhou district, Chongqing City, China","January 25, 2020 to February 18, 2020",Confirmed COVID-19 patients aged 10 to 35 years (adolescents 10-24 years and young adults 25-35 years) and their family close contacts,12 secondary cases from 6 family clusters,Parametric survival analysis with gamma distribution using family-clustered transmission pairs,serial_interval,median,1.9,days,CI,95%,0.4,6.2,gamma,Mean serial interval also reported as 6.5 days (95% CI 2.5-17.4) in Discussion. 95th percentile reported as 28.6 days (95% CI 10.6-76.9). Serial interval defined as time from illness onset in index patient to illness onset in secondary case. Based on 6 symptomatic index patients and 12 secondary cases from family clusters.,"['Results paragraph 2', 'Figure 3A', 'Discussion paragraph 2']",p13,0.4,6.2,reported
32710618,Prete Jr/2020,Brazil,between 25 February and 19 March 2020,confirmed cases of SARS-CoV-2 infection notified on the REDCap system,65 infector–infectee pairs,computed difference between dates of symptom onset of each pair; fitted serial interval probability distribution allowing for negative values using chi-squared random variables,serial_interval,mean,2.97,days,SD,,,,"chi-squared random variables (latent period mean 3.03 days, infectious period mean 0.95 days)","SD = 3.29 days. Median serial interval also reported as 3 days (SD = 3.29). 4 negative serial intervals (6.15%) and 7 zero-valued (10.77%) observed. 95% CI for probability of negative serial intervals [1.72%, 15.29%]. This is the headline estimate.","['Research Letter body', 'Figure 1']",p13,,,missing
32710618,Prete Jr/2020,Brazil,between 25 February and 19 March 2020,confirmed cases of SARS-CoV-2 infection notified on the REDCap system,65 infector–infectee pairs,censored data to include only positive serial interval values,serial_interval,mean,3.83,days,,,,,lognormal,"Supplementary analysis (ii): data censored to include only positive values, best fit by lognormal distribution.",['Research Letter body'],p13,,,missing
32283156,Huang/2020,"Hefei/Feidong, Anhui Province, China","January 19-27, 2020","Cluster of youngsters aged 16-23 years, close contacts of a 22-year-old index patient returning from Wuhan",7 secondary cases (8 total including index),Prospective contact-tracing study; serial interval defined as time delay between illness-onset dates in successive cases in a transmission chain,serial_interval,median,1.0,days,Range,NR,0.0,4.0,,"Individual serial interval values: Patient 2=4, Patient 3=2, Patient 4=0, Patient 5=3, Patient 6=1, Patient 7=1, Patient 8=0 days. Patients 4 and 8 had symptom onset on the same day as Patient-Index (serial interval=0). Summary in Table 1 reported as 1(0-4) for Patients 2-8.","['Table 1', 'Results paragraph 3', 'Abstract']",p13,-0.0858,2.0858,derived_from_range
