model_display,disease,topic,profile,project,pmid,error_kind,primary_type,flags,prediction,llm_tier,disease_score,population_score,location_score,evidence_score,parameter_score,overall_score,title,year,create_date,journal,abstract_len,overall_justification,parameter_justification,evidence_justification
LEADS-2,covid19,fatality,P4,4,32166607,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;review_or_commentary_signal;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,A Review of Coronavirus Disease-2019 (COVID-19).,2020,2020/03/14,Indian journal of pediatrics,1768,The abstract mentions fatality rates and severity outcomes of COVID-19.,,
LEADS-2,covid19,fatality,P4,4,33144889,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;review_or_commentary_signal;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,[Epidemiology of SARS-CoV-2/COVID-19].,2020,2020/11/04,Der Gastroenterologe : Zeitschrift fur Gastroenterologie und Hepatologie,1656,The abstract discusses the fatality rate of SARS-CoV-2 infections.,,
LEADS-2,covid19,fatality,P4,4,32291377,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,COVID-19 and Indonesia.,2020,2020/04/16,Acta medica Indonesiana,1060,"The paper discusses the fatality rate of COVID-19 in Indonesia, which is relevant to the question.",,
LEADS-2,covid19,fatality,P4,4,32299206,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,Epidemiology of COVID-19.,2020,2020/04/18,Turkish journal of medical sciences,1277,The abstract discusses fatality and severity outcomes of SARS-CoV-2 infection.,,
LEADS-2,covid19,fatality,P4,4,32498503,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;review_or_commentary_signal;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,COVID-19: a review.,2020,2020/06/06,Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,1635,The abstract mentions fatality and severity outcomes of COVID-19.,,
LEADS-2,covid19,fatality,P4,4,37556240,FP,borderline_possible_over_inclusion,original_or_data_signal;possible_bucket;review_or_commentary_signal;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,COVID-19: A Risk Assessment Perspective.,2020,2023/08/09,Journal of chemical health & safety,816,The paper discusses the fatality and severity outcomes of SARS-CoV-2 infection.,,
LEADS-2,covid19,fatality,P4,4,32628905,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,Comparing SARS-CoV-2 with SARS-CoV and influenza pandemics.,2020,2020/07/07,The Lancet. Infectious diseases,1597,"The paper compares SARS-CoV-2 with other epidemic coronaviruses and pandemic influenza viruses, relevant to the question.",,
LEADS-2,covid19,fatality,P4,4,32146445,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,Similarity in Case Fatality Rates (CFR) of COVID-19/SARS-COV-2 in Italy and China.,2020,2020/03/09,Journal of infection in developing countries,1016,The paper provides information on the case fatality rates of COVID-19 in Italy and China.,,
LEADS-2,covid19,fatality,P4,4,32434337,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,A novel coronavirus (SARS-CoV-2) and COVID-19.,2020,2020/05/22,Casopis lekaru ceskych,1385,The abstract mentions fatality rates and severity outcomes of SARS-CoV-2 infection.,,
LEADS-2,covid19,fatality,P4,4,32338347,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,COVID-19 in Children: Clinical Approach and Management.,2020,2020/04/28,Indian journal of pediatrics,2063,The abstract mentions fatality and severity outcomes of SARS-CoV-2 infection in children.,,
LEADS-2,covid19,fatality,P4,4,38624403,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,On COVID-19 Modelling.,2020,2024/04/16,Jahresbericht der Deutschen Mathematiker-Vereinigung. Deutsche Mathematiker-Vereinigung,1669,"The paper discusses the prediction of infection peaks, which is relevant to the question.",,
LEADS-2,covid19,fatality,P4,4,32470164,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;review_or_commentary_signal;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,"Estimation of the basic reproduction number, average incubation time, asymptomatic infection rate, and case fatality rate for COVID-19: Meta-analysis and sensitivity analysis.",2020,2020/05/30,Journal of medical virology,890,"The paper provides estimates for the basic reproduction number, incubation time, asymptomatic infection rate, and case fatality rate for COVID-19.",,
LEADS-2,covid19,fatality,P4,4,32687112,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,COVID-19 pandemic: A global health burden.,2020,2020/07/21,The Nigerian postgraduate medical journal,1812,"The abstract mentions the case-fatality rate (CFR) of COVID-19, which is directly related to the question.",,
LEADS-2,covid19,fatality,P4,4,32234121,FP,borderline_possible_over_inclusion,original_or_data_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,"Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020.",2020,2020/04/03,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,455,The study provides age-adjusted data on fatality and severity outcomes of COVID-19.,,
LEADS-2,covid19,fatality,P4,4,32257772,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,Cross-Country Comparison of Case Fatality Rates of COVID-19/SARS-COV-2.,2020,2020/04/08,Osong public health and research perspectives,1328,"The paper provides data on case fatality rates of COVID-19, which is directly relevant to the question.",,
LEADS-2,covid19,fatality,P4,4,32515882,FP,borderline_possible_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal,possible_candidate,,-1,-1,-1,-1,-1,2,Occupational health responses to COVID-19: What lessons can we learn from SARS?,2020,2020/06/10,Journal of occupational health,1590,"The abstract discusses the case-fatality rate of SARS and COVID-19, which is directly related to the question.",,
