model_display,disease,topic,profile,project,pmid,error_kind,primary_type,flags,prediction,llm_tier,disease_score,population_score,location_score,evidence_score,parameter_score,overall_score,title,year,create_date,journal,abstract_len,overall_justification,parameter_justification,evidence_justification
Qwen3.6 Plus,covid19,fatality,P4,4,32146445,FP,weak_original_evidence,original_or_data_signal;other_parameter_signal;possible_bucket;target_parameter_signal;weak_evidence_score,possible_candidate,P,4,4,4,2,4,4,Similarity in Case Fatality Rates (CFR) of COVID-19/SARS-COV-2 in Italy and China.,2020,2020/03/09,Journal of infection in developing countries,1016,"The paper reports specific case counts, deaths, and calculates a CFR for SARS-CoV-2 in Italy, directly addressing the target parameter. However, the brief format and lack of methodological detail make the evidence quality uncertain, warranting full-text verification.","Explicitly reports and compares Case Fatality Rates (CFR) of 2.3% for Italy and China, directly addressing the target parameter with its own calculated estimate.","Presents brief surveillance counts and a calculated CFR, but lacks methodological detail and reads like a short correspondence or brief report; evidence quality is uncertain from the abstract alone."
Qwen3.6 Plus,covid19,fatality,P4,4,33214992,FP,plausibly_relevant_not_in_sr_gt,high_5d_scores;original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,4,4,4,4,Changing epidemiology of COVID-19.,2020,2020/11/20,GMS hygiene and infection control,1709,This is a strong original empirical study that directly analyzes and reports case fatality rates for SARS-CoV-2 across two time periods in a defined human population. All core dimensions are well-supported by explicit textual evidence.,Explicitly reports and compares case fatality rates (2.1% vs 0.2%) as a direct study result.,Reports a retrospective analysis of original epidemiological surveillance data across two defined time periods.
Qwen3.6 Plus,covid19,fatality,P4,4,32234121,FP,plausibly_relevant_not_in_sr_gt,high_5d_scores;original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,4,4,4,4,"Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020.",2020,2020/04/03,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,455,The study directly addresses the research question by providing original empirical estimates of CFR and IFR for COVID-19 in a real-world outbreak setting. All dimensions are strongly supported by the title and abstract.,Explicitly reports and estimates case fatality ratio (CFR) and infection fatality ratio (IFR) as primary study outcomes.,"Reports original empirical analysis estimating fatality ratios from outbreak data, with clear methodology and results."
Qwen3.6 Plus,covid19,fatality,P4,4,32257772,FP,broad_topic_over_inclusion,original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,4,3,4,4,Cross-Country Comparison of Case Fatality Rates of COVID-19/SARS-COV-2.,2020,2020/04/08,Osong public health and research perspectives,1328,This study directly addresses the research question by calculating and comparing case fatality rates for COVID-19 across multiple countries using registry data. It provides original empirical evidence on fatality outcomes.,Explicitly calculates and reports case fatality rates (CFR) as the primary outcome.,Reports original empirical analysis calculating CFR from registry databases for specific dates.
Qwen3.6 Plus,covid19,fatality,P4,4,32359194,FP,review_signal_overridden_by_model,original_or_data_signal;other_parameter_signal;review_or_commentary_signal;target_parameter_signal,strong_candidate,S,4,4,4,3,4,4,COVID-19 in Spain: Transplantation in the midst of the pandemic.,2020,2020/05/03,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,1034,"The study provides original descriptive epidemiological data on COVID-19 severity and fatality outcomes in Spain, alongside healthcare system impacts. It clearly meets all inclusion criteria.","Explicitly reports key target parameters including deaths, ICU admissions, and a calculated global case fatality rate of 11.3%.","Reports original descriptive data on confirmed cases, recoveries, ICU admissions, deaths, and transplantation volumes during the pandemic."
Qwen3.6 Plus,covid19,fatality,P4,4,32332856,FP,plausibly_relevant_not_in_sr_gt,high_5d_scores;original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,4,4,4,4,COVID-19 in persons with haematological cancers.,2020,2020/04/26,Leukemia,1727,This cohort study directly addresses the research question by reporting original data on COVID-19 severity and case fatality rates in a specific human population. All dimensions are strongly supported by explicit textual evidence in the abstract.,Explicitly reports and compares case fatality rates (62% vs 0%) and disease severity as primary outcomes.,Reports original empirical data from a cohort study with direct data collection and statistical comparison.
Qwen3.6 Plus,covid19,fatality,P4,4,32297983,FP,broad_topic_over_inclusion,original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,4,3,4,4,Case fatality rate analysis of Italian COVID-19 outbreak.,2020,2020/04/17,Journal of medical virology,1256,This study directly addresses the research question by analyzing regional CFR data for COVID-19 in Italy. It provides original empirical evidence on fatality outcomes and explicitly reports the target parameter.,Explicitly analyzes and reports Case Fatality Rate (CFR) as the primary outcome across regions.,"Presents original empirical analysis of regional outbreak data and social behavior correlations, not labeled as a review or commentary."
Qwen3.6 Plus,covid19,fatality,P4,4,32031234,FP,sparse_metadata_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;sparse_or_no_abstract;target_parameter_signal;weak_evidence_score,possible_candidate,B,4,4,2,2,4,3,2019-novel Coronavirus (2019-nCoV): estimating the case fatality rate - a word of caution.,2020,2020/02/08,Swiss medical weekly,0,"The paper directly addresses SARS-CoV-2 and explicitly targets case fatality rate estimation, aligning closely with the research question. However, the title suggests it may be a commentary or methodological caution rather than a primary empirical study, and the geographic setting is unspecified. Assessment is constrained by title-only metadata.","Explicitly focuses on estimating the case fatality rate, directly matching the target parameter.","The phrase 'a word of caution' suggests a commentary or methodological critique rather than a primary data study, though it may reference empirical estimates; metadata is sparse."
Qwen3.6 Plus,covid19,fatality,P4,4,33320895,FP,plausibly_relevant_not_in_sr_gt,high_5d_scores;original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,4,4,4,4,COVID-19: Spatial analysis of hospital case-fatality rate in France.,2020,2020/12/15,PloS one,2200,The study directly addresses the research question by analyzing original hospital data to estimate case-fatality rates and severity outcomes across French districts. All dimensions are strongly supported by explicit textual evidence.,"Explicitly reports and analyzes hospital case-fatality rates, ICU admissions, and endotracheal intubation as primary quantified outcomes.","Presents original empirical analysis of hospital data on COVID-19 cases, severity, and mortality over a defined period during the first lockdown."
Qwen3.6 Plus,covid19,fatality,P4,4,32611978,FP,plausibly_relevant_not_in_sr_gt,high_5d_scores;original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,4,4,4,4,SARS-CoV-2 in Italy: Population Density Correlates with Morbidity and Mortality.,2021,2020/07/03,Japanese journal of infectious diseases,1092,"This study presents original empirical analysis of Italian regional data, explicitly quantifying associations between population density, medical supplies, and COVID-19 case-fatality rates. It directly addresses the target parameter with clear original data.",Explicitly calculates and reports correlations with case-fatality rate and mortality as primary quantified outcomes.,Reports original archival analysis of regional Italian data with quantified statistical results.
Qwen3.6 Plus,covid19,fatality,P4,4,32554773,FP,plausibly_relevant_not_in_sr_gt,high_5d_scores;original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,3,4,4,4,Incidence and case fatality rate of COVID-19 in patients with active epilepsy.,2020,2020/06/20,Neurology,1837,"This original cross-sectional study directly estimates and reports the case fatality rate of COVID-19 in a specific human population. It clearly meets all criteria for disease, population, original evidence, and target parameters.",Explicitly reports and analyzes the case fatality rate (CFR) and identifies risk factors for fatality as primary outcomes.,"Original cross-sectional observational study with primary data collection and statistical analysis of 1,537 patients."
Qwen3.6 Plus,covid19,fatality,P4,4,32234343,FP,plausibly_relevant_not_in_sr_gt,high_5d_scores;original_or_data_signal;other_parameter_signal;target_parameter_signal,strong_candidate,S,4,4,4,4,4,4,Monitoring transmissibility and mortality of COVID-19 in Europe.,2020,2020/04/03,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,1277,The study clearly addresses COVID-19 in human populations across Europe and provides original empirical estimates of case fatality rates. All dimensions are strongly supported by explicit textual evidence.,Explicitly reports and estimates case fatality rates (CFR) as a primary outcome.,Reports original empirical analysis estimating R(t) and CFR using WHO surveillance data.
Qwen3.6 Plus,covid19,fatality,P4,4,32627569,FP,weak_original_evidence,original_or_data_signal;other_parameter_signal;possible_bucket;review_or_commentary_signal;target_parameter_signal;weak_evidence_score,possible_candidate,P,4,4,3,2,3,3,The theoretical mortality risk of an asymptomatic patient with a negative SARS-CoV-2 test developing COVID-19 following elective orthopaedic surgery.,2020,2020/07/07,The bone & joint journal,2153,"This study models the theoretical mortality risk of undetected SARS-CoV-2 infection in surgical patients using published CFR/IFR values. While it directly addresses fatality outcomes, it relies on theoretical calculations rather than original empirical data collection, warranting full-text review to confirm methodology and applicability.",Explicitly calculates and reports theoretical mortality risk using case fatality rate (CFR) and infection fatality rate (IFR) as core inputs and outputs.,Theoretical modeling study calculating probabilities from existing literature parameters; lacks primary empirical data collection.
Qwen3.6 Plus,covid19,fatality,P4,4,32377387,FP,sparse_metadata_over_inclusion,original_or_data_signal;other_parameter_signal;possible_bucket;review_or_commentary_signal;sparse_or_no_abstract;target_parameter_signal;weak_evidence_score,possible_candidate,B,4,4,2,2,3,3,High-flow Nasal Cannula Oxygenation Revisited in COVID-19.,2020,2020/05/08,Cardiac failure review,0,"The title clearly addresses COVID-19 and a severity-related intervention in humans. However, given the limited title-only metadata, the study design, geographic setting, and specific fatality outcomes remain uncertain.","Evidence is limited; high-flow nasal cannula relates directly to clinical severity and respiratory support, aligning with target parameters, though fatality or mortality endpoints are not explicitly stated.","Evidence is limited; the term 'Revisited' often indicates a review or commentary rather than primary empirical data, but the exact study design cannot be confirmed from sparse metadata."
