project,PMID,Title,llm_suggest,overall_score,disease_score,population_score,location_score,evidence_score,parameter_score,confidence,pub_types,overall_justification,Abstract
covid19/fatality/p4,33284413,Endotoxemia and circulating bacteriome in severe COVID-19 patients.,unlikely_candidate,3,4,4,3,4,2,0.8,Journal Article,"The study is highly relevant to COVID-19, human population, and original empirical evidence, but its primary focus is on endotoxemia and circulating bacteriome pathophysiology, not on fatality or severity outcomes as defined by the research question. While ICU and ventilation are mentioned, they are not the main outcomes, and mortality is not reported.","BACKGROUND: When severe, COVID-19 shares many clinical features with bacterial sepsis. Yet, secondary bacterial infection is uncommon. However, as epithelium is injured and barrier function is lost, bacterial products entering the circulation might contribute to the pathophysiology of COVID-19. METHODS: We studied 19 adults, severely ill patients with COVID-19 infection, who were admitted to King Chulalongkorn Memorial Hospital, Bangkok, Thailand, between 13th March and 17th April 2020. Blood sa"
covid19/fatality/p4,32543702,Clinical Characteristics and Morbidity Associated With Coronavirus Disease 2019 in a Series of Patients in Metropolitan Detroit.,unlikely_candidate,3,4,4,4,1,4,1.0,Journal Article; Review,"The study is highly relevant to the research question in terms of disease, population, location, and target parameters, but it is classified as a Review in Publication Types, which precludes it from being considered original empirical evidence. Therefore, it is not suitable for inclusion in a systematic review of original studies.","IMPORTANCE: In late December 2019, an outbreak caused by a novel severe acute respiratory syndrome coronavirus 2 emerged in Wuhan, China. Data on the clinical characteristics and outcomes of infected patients in urban communities in the US are limited. OBJECTIVES: To describe the clinical characteristics and outcomes of patients with coronavirus disease 2019 (COVID-19) and to perform a comparative analysis of hospitalized and ambulatory patient populations. DESIGN, SETTING, AND PARTICIPANTS: Thi"
covid19/fatality/p6,32284616,"Estimating clinical severity of COVID-19 from the transmission dynamics in Wuhan, China.",unlikely_candidate,3,4,4,4,1,4,1.0,"Letter; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","The study is highly relevant to COVID-19 mortality estimation in a real-world population, but it is a letter (not original empirical research) that uses modeling based on existing data. It does not present original data collection from human subjects.","As of 29 February 2020 there were 79,394 confirmed cases and 2,838 deaths from COVID-19 in mainland China. Of these, 48,557 cases and 2,169 deaths occurred in the epicenter, Wuhan. A key public health priority during the emergence of a novel pathogen is estimating clinical severity, which requires properly adjusting for the case ascertainment rate and the delay between symptoms onset and death. Using public and published information, we estimate that the overall symptomatic case fatality risk (t"
covid19/fatality/p6,32044814,Clinical characteristics of novel coronavirus cases in tertiary hospitals in Hubei Province.,unlikely_candidate,3,4,4,4,4,2,0.8,Journal Article,"The study is highly relevant to COVID-19, human populations, and real-world settings, and presents original empirical data. However, it does not explicitly report mortality or case fatality rates, only alludes to death risk, making it uncertain for the target parameter.","BACKGROUND: The 2019 novel coronavirus (2019-nCoV) causing an outbreak of pneumonia in Wuhan, Hubei province of China was isolated in January 2020. This study aims to investigate its epidemiologic history, and analyze the clinical characteristics, treatment regimens, and prognosis of patients infected with 2019-nCoV during this outbreak. METHODS: Clinical data from 137 2019-nCoV-infected patients admitted to the respiratory departments of nine tertiary hospitals in Hubei province from December 3"
covid19/reproduction_number/p7,32179701,Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV-2).,unlikely_candidate,3,4,4,4,4,2,0.8,"Journal Article; Research Support, N.I.H., Extramural","The study is highly relevant to COVID-19, human populations, and real-world location, and presents original empirical evidence. However, it does not explicitly report the basic reproduction number (R0), making its direct relevance to the research question uncertain.","Estimation of the prevalence and contagiousness of undocumented novel coronavirus [severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2)] infections is critical for understanding the overall prevalence and pandemic potential of this disease. Here, we use observations of reported infection within China, in conjunction with mobility data, a networked dynamic metapopulation model, and Bayesian inference, to infer critical epidemiological characteristics associated with SARS-CoV-2, including "
covid19/reproduction_number/p7,32461062,Modelling SARS-COV2 Spread in London: Approaches to Lift the Lockdown.,unlikely_candidate,3,4,4,4,3,2,0.8,Journal Article,"The study is highly relevant to COVID-19, human populations, and a real-world location (London), and presents original modeling work with empirical data. However, it does not explicitly report R0 or basic reproduction number, making it less directly relevant to the research question.","OBJECTIVE: To use mathematical models to predict the epidemiological impact of lifting the lockdown in London, UK, and alternative strategies to help inform policy in the UK. METHODS: A mathematical model for the transmission of SARS-CoV2 in London. The model was parametrised using data on notified cases, deaths, contacts, and mobility to analyse the epidemic in the UK capital. We investigated the impact of multiple non pharmaceutical interventions (NPIs) and combinations of these measures on fu"
covid19/reproduction_number/p7,32497623,"A data-driven network model for the emerging COVID-19 epidemics in Wuhan, Toronto and Italy.",unlikely_candidate,3,4,4,4,1,4,0.9,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to COVID-19, human populations, and geographic locations, and explicitly addresses the basic reproduction number. However, it is a modeling study that does not present original empirical data from human subjects, which reduces its score on the original evidence dimension.","The ongoing Coronavirus Disease 2019 (COVID-19) pandemic threatens the health of humans and causes great economic losses. Predictive modeling and forecasting the epidemic trends are essential for developing countermeasures to mitigate this pandemic. We develop a network model, where each node represents an individual and the edges represent contacts between individuals where the infection can spread. The individuals are classified based on the number of contacts they have each day (their node de"
covid19/reproduction_number/p7,32235480,A Simulation on Potential Secondary Spread of Novel Coronavirus in an Exported Country Using a Stochastic Epidemic SEIR Model.,unlikely_candidate,3,4,4,3,1,4,0.9,Journal Article,"The study is highly relevant to the research question as it explicitly estimates R0 for COVID-19 in a real-world geographic context. However, it is a simulation study without original empirical data, which limits its contribution to evidence synthesis.","Ongoing outbreak of pneumonia caused by novel coronavirus (2019-nCoV) began in December 2019 in Wuhan, China, and the number of new patients continues to increase. Even though it began to spread to many other parts of the world, such as other Asian countries, the Americas, Europe, and the Middle East, the impact of secondary outbreaks caused by exported cases outside China remains unclear. We conducted simulations to estimate the impact of potential secondary outbreaks in a community outside Chi"
covid19/reproduction_number/p7,32536760,Analysis of the mitigation strategies for COVID-19: From mathematical modelling perspective.,unlikely_candidate,3,4,3,1,1,4,0.8,Journal Article,"The study is highly relevant to COVID-19 and explicitly reports R0, but it is a mathematical modeling study without original empirical data collection from human subjects, and lacks geographic context.","In this article, a mathematical model for the transmission of COVID-19 disease is formulated and analysed. It is shown that the model exhibits a backward bifurcation at R 0 = 1 when recovered individuals do not develop a permanent immunity for the disease. In the absence of reinfection, it is proved that the model is without backward bifurcation and the disease free equilibrium is globally asymptotically stable for R 0 < 1 . By using available data, the model is validated and parameter values ar"
covid19/reproduction_number/p7,32468343,Estimation of reproduction numbers of COVID-19 in typical countries and epidemic trends under different prevention and control scenarios.,unlikely_candidate,3,4,4,4,1,4,1.0,Journal Article,"The study is highly relevant to the research question in terms of disease, population, location, and parameter, but it is a modeling study without original empirical data, which limits its contribution to estimating R0 from real-world data.","The coronavirus disease 2019 (COVID-19) has become a life-threatening pandemic. The epidemic trends in different countries vary considerably due to different policy-making and resources mobilization. We calculated basic reproduction number (R0) and the time-varying estimate of the effective reproductive number (Rt) of COVID-19 by using the maximum likelihood method and the sequential Bayesian method, respectively. European and North American countries possessed higher R0 and unsteady Rt fluctuat"
covid19/reproduction_number/p7,32766462,Generalized logistic growth modeling of the COVID-19 pandemic in Asia.,unlikely_candidate,3,4,4,4,2,2,0.7,Journal Article,"The study is highly relevant to COVID-19, human populations, and real-world locations, but it is a modeling study without explicit original data collection and does not report R0. The parameter of interest is only implied.","Several months into the ongoing novel coronavirus disease 2019 (COVID-19) pandemic, this work provides a simple and direct projection of the outbreak spreading potential and the pandemic cessation dates in Chinese mainland, Iran, the Philippines and Chinese Taiwan, using the generalized logistic model (GLM). The short-term predicted number of cumulative COVID-19 cases matched the confirmed reports of those who were infected across the four countries and regions, and the long-term forecasts were "
